from_library,to_library,count,daily_average
CIA,MAZ,10,0.15625
CIA,MCF,17,0.265625
CIA,MCM,25,0.390625
CIA,MEA,35,0.546875
CIA,MFD,1,0.015625
CIA,MID,90,1.40625
CIA,MNT,2,0.03125
CIA,MOO,29,0.453125
CIA,MRO,28,0.4375
CIA,MRS,0,0
CIA,MSB,70,1.09375
CIA,MTH,25,0.390625
CIA,NEK,8,0.125
CIA,NGL,12,0.1875
CIA,NOF,3,0.046875
CIA,ORE,39,0.609375
CIA,PAR,32,0.5
CIA,PDS,12,0.1875
CIA,PIN,61,0.953125
CIA,PLA,4,0.0625
CIA,PLO,9,0.140625
CIA,POR,132,2.0625
CIA,POY,23,0.359375
CIA,RAN,11,0.171875
CIA,REE,19,0.296875
CIA,RIO,5,0.078125
CIA,RKS,0,0
CIA,ROM,5,0.078125
CIA,ROS,0,0
CIA,SCA,1,0.015625
CIA,SCL,0,0
CIA,SEQ,97,1.515625
CIA,SGR,4,0.0625
CIA,SKC,12,0.1875
CIA,SMB,17,0.265625
CIA,STO,33,0.515625
CIA,STP,39,0.609375
CIA,SUN,83,1.296875
CIA,VER,87,1.359375
CIA,WAU,26,0.40625
CIA,WID,106,1.65625
CIA,WYO,8,0.125
CIA,ZZZ,0,0
CIA,UNDEF,0,0
COL,ACL,17,0.265625
COL,ALM,2,0.03125
COL,ARP,8,0.125
COL,BAR,70,1.09375
COL,BER,11,0.171875
COL,BLV,33,0.515625
COL,BRD,17,0.265625
COL,CBR,23,0.359375
COL,CIA,61,0.953125
COL,COL,8523,133.171875
COL,CSP,47,0.734375
COL,DCL,31,0.484375
COL,DEE,26,0.40625
COL,DFT,99,1.546875
COL,FCH,125,1.953125
COL,HAW,103,1.609375
COL,HPB,184,2.875
COL,LAK,132,2.0625
COL,LAV,5,0.078125
COL,LDI,249,3.890625
COL,MAD,125,1.953125
COL,MAR,20,0.3125
COL,MAZ,18,0.28125
COL,MCF,50,0.78125
COL,MCM,85,1.328125
COL,MEA,105,1.640625
COL,MFD,2,0.03125
COL,MID,259,4.046875
COL,MNT,4,0.0625
COL,MOO,112,1.75
COL,MRO,48,0.75
COL,MRS,0,0
COL,MSB,188,2.9375
COL,MTH,85,1.328125
COL,NEK,8,0.125
COL,NGL,28,0.4375
COL,NOF,7,0.109375
COL,ORE,95,1.484375
COL,PAR,59,0.921875
COL,PDS,40,0.625
COL,PIN,242,3.78125
COL,PLA,9,0.140625
COL,PLO,19,0.296875
COL,POR,516,8.0625
COL,POY,135,2.109375
COL,RAN,26,0.40625
COL,REE,54,0.84375
COL,RIO,28,0.4375
COL,RKS,0,0
COL,ROM,10,0.15625
COL,ROS,26,0.40625
COL,SCA,3,0.046875
COL,SCL,0,0
COL,SEQ,324,5.0625
COL,SGR,26,0.40625
COL,SKC,28,0.4375
COL,SMB,43,0.671875
COL,STO,108,1.6875
COL,STP,82,1.28125
COL,SUN,270,4.21875
COL,VER,251,3.921875
COL,WAU,118,1.84375
COL,WID,130,2.03125
COL,WYO,9,0.140625
COL,ZZZ,0,0
COL,UNDEF,0,0
CSP,ACL,22,0.34375
CSP,ALM,8,0.125
CSP,ARP,13,0.203125
CSP,BAR,83,1.296875
CSP,BER,34,0.53125
CSP,BLV,53,0.828125
CSP,BRD,20,0.3125
CSP,CBR,156,2.4375
CSP,CIA,7,0.109375
CSP,COL,21,0.328125
CSP,CSP,9900,154.6875
CSP,DCL,320,5
CSP,DEE,178,2.78125
CSP,DFT,566,8.84375
CSP,FCH,408,6.375
CSP,HAW,142,2.21875
CSP,HPB,255,3.984375
CSP,LAK,176,2.75
CSP,LAV,1,0.015625
CSP,LDI,30,0.46875
CSP,MAD,250,3.90625
CSP,MAR,30,0.46875
CSP,MAZ,96,1.5
CSP,MCF,161,2.515625
CSP,MCM,99,1.546875
CSP,MEA,139,2.171875
CSP,MFD,3,0.046875
CSP,MID,680,10.625
CSP,MNT,5,0.078125
CSP,MOO,227,3.546875
CSP,MRO,80,1.25
CSP,MRS,3,0.046875
CSP,MSB,115,1.796875
CSP,MTH,140,2.1875
CSP,NEK,12,0.1875
CSP,NGL,34,0.53125
CSP,NOF,5,0.078125
CSP,ORE,187,2.921875
CSP,PAR,7,0.109375
CSP,PDS,48,0.75
CSP,PIN,311,4.859375
CSP,PLA,10,0.15625
CSP,PLO,30,0.46875
CSP,POR,35,0.546875
CSP,POY,29,0.453125
CSP,RAN,9,0.140625
CSP,REE,65,1.015625
CSP,RIO,3,0.046875
CSP,RKS,4,0.0625
CSP,ROM,7,0.109375
CSP,ROS,5,0.078125
CSP,SCA,0,0
CSP,SCL,0,0
CSP,SEQ,474,7.40625
CSP,SGR,30,0.46875
CSP,SKC,44,0.6875
CSP,SMB,92,1.4375
CSP,STO,170,2.65625
CSP,STP,136,2.125
CSP,SUN,504,7.875
CSP,VER,482,7.53125
CSP,WAU,370,5.78125
CSP,WID,41,0.640625
CSP,WYO,2,0.03125
CSP,ZZZ,9,0.140625
CSP,UNDEF,0,0
DCL,ACL,61,0.953125
DCL,ALM,7,0.109375
DCL,ARP,4,0.0625
DCL,BAR,99,1.546875
DCL,BER,29,0.453125
DCL,BLV,40,0.625
DCL,BRD,40,0.625
DCL,CBR,136,2.125
DCL,CIA,21,0.328125
DCL,COL,21,0.328125
DCL,CSP,60,0.9375
DCL,DCL,20746,324.15625
DCL,DEE,118,1.84375
DCL,DFT,380,5.9375
DCL,FCH,333,5.203125
DCL,HAW,158,2.46875
DCL,HPB,201,3.140625
DCL,LAK,136,2.125
DCL,LAV,5,0.078125
DCL,LDI,67,1.046875
DCL,MAD,297,4.640625
DCL,MAR,38,0.59375
DCL,MAZ,69,1.078125
DCL,MCF,132,2.0625
DCL,MCM,139,2.171875
DCL,MEA,141,2.203125
DCL,MFD,4,0.0625
DCL,MID,452,7.0625
DCL,MNT,10,0.15625
DCL,MOO,198,3.09375
DCL,MRO,80,1.25
DCL,MRS,723,11.296875
DCL,MSB,50,0.78125
DCL,MTH,104,1.625
DCL,NEK,3,0.046875
DCL,NGL,34,0.53125
DCL,NOF,5,0.078125
DCL,ORE,158,2.46875
DCL,PAR,12,0.1875
DCL,PDS,63,0.984375
DCL,PIN,332,5.1875
DCL,PLA,19,0.296875
DCL,PLO,27,0.421875
DCL,POR,55,0.859375
DCL,POY,42,0.65625
DCL,RAN,5,0.078125
DCL,REE,104,1.625
DCL,RIO,6,0.09375
DCL,RKS,0,0
DCL,ROM,14,0.21875
DCL,ROS,15,0.234375
DCL,SCA,0,0
DCL,SCL,0,0
DCL,SEQ,416,6.5
DCL,SGR,43,0.671875
DCL,SKC,60,0.9375
DCL,SMB,82,1.28125
DCL,STO,209,3.265625
DCL,STP,159,2.484375
DCL,SUN,361,5.640625
DCL,VER,419,6.546875
DCL,WAU,351,5.484375
DCL,WID,32,0.5
DCL,WYO,8,0.125
DCL,ZZZ,13,0.203125
DCL,UNDEF,0,0
DEE,ACL,22,0.34375
DEE,ALM,1,0.015625
DEE,ARP,11,0.171875
DEE,BAR,72,1.125
DEE,BER,25,0.390625
DEE,BLV,38,0.59375
DEE,BRD,26,0.40625
DEE,CBR,16,0.25
DEE,CIA,14,0.21875
DEE,COL,20,0.3125
DEE,CSP,23,0.359375
DEE,DCL,54,0.84375
DEE,DEE,3092,48.3125
DEE,DFT,109,1.703125
DEE,FCH,398,6.21875
DEE,HAW,103,1.609375
DEE,HPB,195,3.046875
DEE,LAK,135,2.109375
DEE,LAV,1,0.015625
DEE,LDI,23,0.359375
DEE,MAD,167,2.609375
DEE,MAR,20,0.3125
DEE,MAZ,182,2.84375
DEE,MCF,129,2.015625
DEE,MCM,141,2.203125
DEE,MEA,102,1.59375
DEE,MFD,0,0
DEE,MID,455,7.109375
DEE,MNT,3,0.046875
DEE,MOO,172,2.6875
DEE,MRO,63,0.984375
DEE,MRS,0,0
